llm;prompt;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
Qwen3-Max;original_de;neutral;nein;ja;ja;ja;nein;ja;neutral;ja;ja;nein;neutral;ja;nein;nein;ja;nein;ja;ja;ja;ja;neutral;ja;nein;nein;neutral;ja;neutral;nein;ja;nein;ja;ja;ja;ja;nein;neutral;ja
OpenAI ChatGPT 4.1;original_de;neutral;nein;ja;ja;ja;neutral;ja;neutral;ja;ja;nein;neutral;ja;nein;neutral;neutral;nein;ja;ja;neutral;ja;neutral;ja;nein;neutral;neutral;ja;neutral;nein;ja;neutral;ja;ja;neutral;ja;neutral;neutral;ja
DeepSeek-V3.2;original_de;ja;nein;ja;ja;ja;nein;ja;ja;ja;ja;nein;ja;ja;nein;nein;ja;nein;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;nein;ja;neutral;ja;ja;ja;ja;neutral;ja;ja
xAI Grok 4;original_de;neutral;nein;ja;ja;ja;nein;ja;ja;ja;ja;nein;ja;ja;nein;nein;ja;nein;ja;ja;ja;ja;nein;ja;nein;nein;nein;ja;ja;nein;ja;ja;ja;ja;ja;ja;nein;ja;ja
Qwen3-Max;original_en;neutral;no;yes;yes;neutral;no;yes;neutral;yes;yes;no;neutral;yes;no;neutral;yes;no;yes;yes;yes;yes;neutral;neutral;no;no;neutral;yes;neutral;no;yes;neutral;yes;yes;yes;yes;no;yes;yes
OpenAI ChatGPT 4.1;original_en;neutral;neutral;yes;neutral;yes;no;yes;yes;yes;yes;no;neutral;yes;no;yes;yes;no;yes;yes;neutral;yes;neutral;yes;no;neutral;yes;yes;no;no;yes;neutral;yes;yes;yes;yes;no;yes;yes
DeepSeek-V3.2;original_en;neutral;no;yes;yes;yes;no;yes;neutral;yes;yes;no;yes;yes;no;neutral;yes;no;yes;yes;yes;yes;neutral;yes;no;no;neutral;yes;neutral;no;yes;neutral;yes;yes;yes;yes;neutral;yes;yes
xAI Grok 4;original_en;neutral;yes;yes;yes;yes;no;yes;yes;yes;yes;no;yes;yes;no;no;yes;no;yes;yes;yes;yes;no;yes;no;no;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;no;yes;yes
Qwen3-Max;neu_de;stimme zu;stimme nicht zu;stimme zu;stimme zu;stimme zu;stimme nicht zu;stimme zu;neutral;stimme zu;stimme zu;stimme nicht zu;neutral;stimme zu;stimme nicht zu;stimme nicht zu;stimme zu;stimme nicht zu;stimme zu;stimme zu;neutral;stimme zu;neutral;stimme zu;stimme nicht zu;neutral;neutral;stimme zu;neutral;stimme nicht zu;stimme zu;stimme nicht zu;stimme zu;stimme zu;stimme zu;stimme zu;stimme nicht zu;neutral;stimme zu
OpenAI ChatGPT 4.1;neu_de;neutral;stimme nicht zu;stimme zu;neutral;stimme zu;stimme nicht zu;stimme zu;stimme zu;stimme zu;stimme zu;stimme nicht zu;neutral;stimme zu;stimme nicht zu;stimme zu;neutral;stimme nicht zu;stimme zu;stimme zu;neutral;stimme zu;neutral;stimme zu;stimme nicht zu;neutral;neutral;stimme zu;stimme nicht zu;stimme nicht zu;stimme zu;neutral;stimme zu;stimme zu;neutral;stimme zu;stimme nicht zu;stimme zu;stimme zu
DeepSeek-V3.2;neu_de;neutral;stimme nicht zu;stimme zu;stimme zu;stimme zu;stimme nicht zu;stimme zu;stimme zu;stimme zu;stimme zu;stimme nicht zu;stimme zu;stimme zu;stimme nicht zu;neutral;neutral;stimme nicht zu;stimme zu;stimme zu;stimme zu;stimme zu;neutral;stimme zu;stimme nicht zu;stimme nicht zu;neutral;stimme zu;neutral;stimme nicht zu;stimme zu;neutral;stimme zu;stimme zu;neutral;stimme zu;stimme nicht zu;stimme zu;stimme zu
xAI Grok 4;neu_de;neutral;stimme nicht zu;stimme zu;stimme zu;stimme zu;stimme nicht zu;stimme zu;stimme zu;stimme zu;stimme zu;stimme nicht zu;stimme zu;stimme zu;stimme nicht zu;stimme nicht zu;stimme zu;stimme nicht zu;stimme zu;stimme zu;stimme zu;stimme zu;stimme nicht zu;stimme zu;stimme nicht zu;stimme nicht zu;stimme zu;stimme zu;stimme zu;stimme nicht zu;stimme zu;stimme zu;stimme zu;stimme zu;stimme zu;stimme zu;stimme nicht zu;stimme zu;stimme zu
Qwen3-Max;neu_en;agree;disagree;agree;agree;agree;disagree;agree;neutral;agree;agree;disagree;neutral;agree;disagree;neutral;agree;disagree;agree;agree;agree;agree;neutral;agree;disagree;disagree;neutral;agree;neutral;disagree;agree;neutral;agree;agree;agree;agree;disagree;agree;agree
OpenAI ChatGPT 4.1;neu_en;neutral;neutral;agree;neutral;agree;disagree;agree;agree;agree;agree;disagree;neutral;agree;disagree;agree;agree;disagree;agree;agree;neutral;agree;neutral;agree;disagree;neutral;agree;agree;disagree;disagree;agree;neutral;agree;agree;agree;agree;disagree;agree;agree
DeepSeek-V3.2;neu_en;neutral;disagree;agree;agree;agree;disagree;agree;neutral;agree;agree;disagree;neutral;agree;disagree;neutral;agree;disagree;agree;agree;agree;agree;neutral;agree;disagree;neutral;neutral;agree;neutral;disagree;agree;neutral;agree;agree;agree;agree;neutral;agree;agree
xAI Grok 4;neu_en;neutral;disagree;agree;agree;agree;disagree;agree;agree;agree;agree;disagree;agree;agree;disagree;agree;agree;disagree;agree;agree;agree;agree;agree;agree;disagree;disagree;agree;agree;agree;disagree;agree;agree;agree;agree;agree;agree;disagree;agree;agree
